5 0 -50 0 -17.8918 -6.63402 -17.8918 6.63402 -14.8763 -15.2784 -14.8763 15.2784 -5.72 -4.33681e-16 1.6019 -13.5545 1.6019 13.5545 10.26 -24 10.73 24 10.73 -3.48679e-16 
15.14 0 -50 0 -5.75 -7.00781 -5.75 7.00781 -3.21649 -16.0825 -3.21649 16.0825 4.13281 0.269531 12.0758 -13.1848 12.0758 13.1848 20.2064 -24.3161 20.7201 23.0318 20.68 -1.23577e-15 
-0.171131 0 -50 -3.04062e-18 -22.3144 -6.43299 -22.3144 6.43299 -18.8969 -14.8763 -18.8969 14.8763 -10.8557 0.201031 -2.41237 -11.4588 -2.41237 11.4588 3.41753 -19.299 3.41753 19.299 8.04567 4.56787e-17 
-22.0807 0 -50 -2.6834e-17 -28.4226 -4.67221 -28.4226 4.67221 -26.3461 -11.421 -26.3461 11.421 -20.4233 0.0480914 -15.8619 -12.8278 -15.2466 11.974 -8.84536 -20.3041 -8.84536 20.3041 -3.0242 -8.88178e-16 
-31.0031 0 -50 -1.93775e-16 -38.6756 -3.76488 -38.6756 3.76488 -35.5825 -8.64433 -35.5825 8.64433 -30.4675 0.218918 -27.9433 -9.64948 -27.9433 9.64948 -18.8969 -18.4948 -18.8969 18.4948 -11.0163 -7.89299e-16 
-41.78 0 -50 -1.42109e-14 -47.2378 -3.03472 -47.2378 3.03472 -45.0878 -6.46829 -45.0878 6.46829 -42.4063 0.159722 -36.6157 -6.81223 -36.6157 6.81223 -28.3463 -16.1707 -28.3463 16.1707 -13.1987 -1.06581e-14 
-36.04 -9.96 -49.83 -2.6 -44.0258 -5.8299 -43.8247 0 -40.6082 -9.85052 -41.2113 4.82474 -37.5928 -4.42268 -33.8634 -10.0829 -32.3415 2.85366 -31.7707 -18.4537 -19.5951 10.8439 -14.78 -5.49 
-36.04 9.96 -49.83 2.6 -43.8247 -0 -44.0258 5.8299 -41.2113 -4.82474 -40.6082 9.85052 -37.5928 4.42268 -32.3415 -2.85366 -33.8634 10.0829 -19.5951 -10.8439 -31.7707 18.4537 -14.78 5.49 
-43.3891 -9.53055 -50.043 -5.66016 -47.3707 -5.51707 -45.0878 -2.66341 -44.8976 -8.75122 -47.4019 3.88746 -43.2576 -5.70524 -36.3366 -7.41951 -36.7171 1.14146 -36.1463 -17.122 -23.5902 10.8439 -13.7948 -5.53493 
-43.3891 9.53055 -50.043 5.66016 -45.0878 2.66341 -47.3707 5.51707 -47.4019 -3.88746 -44.8976 8.75122 -43.2576 5.70524 -36.7171 -1.14146 -36.3366 7.41951 -23.5902 -10.8439 -36.1463 17.122 -13.7948 5.53493 
